Node name, sub deadline ratio, DSP, Shared mem, Const mem, data mem
read_in_1x1, 0.16, None, None, None, 3, None
multiply_1, 0.19, 2, None, None, None, None
read_w1_z_1x128, 0.13, None, None, 5, None, None
write_result_w1_z_1x128_in, 0.18, None, None, None, 3, None
multiply_2, 0.49, 2, None, None, None, None
read_w1_h_1x128, 0.37, None, None, 5, None, None
write_result_w1_h_1x128_in, 0.48, None, None, None, 3, None
multiply_3, 0.15, 2, None, None, None, None
read_w1_r_1x128, 0.16, None, None, 5, None, None
write_result_w1_r_1x128_in, 0.11, None, None, None, 3, None
read_cell_hidden_1x1_0, 0.10, None, 3, None, None, None
multiply_4, 0.15, 2, None, None, None, None
read_u1_z_0_1x128, 0.46, None, None, 5, None, None
add_0, 0.31, 2, None, None, None, None
read_b1_z, 0.20, None, None, 5, None, None
add_128, 0.36, 2, None, None, None, None
read_result_w1_z_1x128_in, 0.14, None, None, None, 3, None
read_cell_hidden_1x1_1, 0.43, None, 3, None, None, None
multiply_5, 0.19, 2, None, None, None, None
read_u1_z_1_1x128, 0.22, None, None, 5, None, None
add_1, 0.15, 2, None, None, None, None
read_cell_hidden_1x1_2, 0.31, None, 3, None, None, None
multiply_6, 0.10, 2, None, None, None, None
read_u1_z_2_1x128, 0.42, None, None, 5, None, None
add_2, 0.41, 2, None, None, None, None
read_cell_hidden_1x1_3, 0.12, None, 3, None, None, None
multiply_7, 0.27, 2, None, None, None, None
read_u1_z_3_1x128, 0.40, None, None, 5, None, None
add_3, 0.29, 2, None, None, None, None
read_cell_hidden_1x1_4, 0.46, None, 3, None, None, None
multiply_8, 0.27, 2, None, None, None, None
read_u1_z_4_1x128, 0.30, None, None, 5, None, None
add_4, 0.12, 2, None, None, None, None
read_cell_hidden_1x1_5, 0.47, None, 3, None, None, None
multiply_9, 0.22, 2, None, None, None, None
read_u1_z_5_1x128, 0.22, None, None, 5, None, None
add_5, 0.15, 2, None, None, None, None
read_cell_hidden_1x1_6, 0.41, None, 3, None, None, None
multiply_10, 0.15, 2, None, None, None, None
read_u1_z_6_1x128, 0.12, None, None, 5, None, None
add_6, 0.19, 2, None, None, None, None
read_cell_hidden_1x1_7, 0.12, None, 3, None, None, None
