Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_in_1x1,0.14,None,None,None,3
multiply_1,0.24,2,None,None,None
read_w1_z_1x128,0.39,None,None,5,None
write_result_w1_z_1x128_in,0.15,None,None,None,3
multiply_2,0.27,2,None,None,None
read_w1_h_1x128,0.12,None,None,5,None
write_result_w1_h_1x128_in,0.10,None,None,None,3
multiply_3,0.18,2,None,None,None
read_w1_r_1x128,0.31,None,None,5,None
write_result_w1_r_1x128_in,0.40,None,None,None,3
read_cell_hidden_1x1_0,0.34,None,3,None,None
multiply_4,0.32,2,None,None,None
read_u1_z_0_1x128,0.10,None,None,5,None
add_0,0.17,2,None,None,None
read_b1_z,0.24,None,None,5,None
add_128,0.46,2,None,None,None
read_result_w1_z_1x128_in,0.38,None,None,None,3
read_cell_hidden_1x1_0_1,0.18,None,3,None,None
multiply_5,0.44,2,None,None,None
read_u1_z_1_1x128,0.23,None,None,5,None
add_1,0.49,2,None,None,None
read_cell_hidden_1x1_0_2,0.44,None,3,None,None
multiply_6,0.20,2,None,None,None
read_u1_z_2_1x128,0.50,None,None,5,None
add_2,0.10,2,None,None,None
read_cell_hidden_1x1_0_3,0.34,None,3,None,None
multiply_7,0.44,2,None,None,None
read_u1_z_3_1x128,0.49,None,None,5,None
add_3,0.41,2,None,None,None
read_cell_hidden_1x1_0_4,0.31,None,3,None,None
multiply_8,0.34,2,None,None,None
read_u1_z_4_1x128,0.20,None,None,5,None
add_4,0.31,2,None,None,None
read_cell_hidden_1x1_0_5,0.29,None,3,None,None
multiply_9,0.46,2,None,None,None
read_u1_z_5_1x128,0.39,None,None,5,None
add_5,0.36,2,None,None,None
read_cell_hidden_1x1_0_6,0.19,None,3,None,None
multiply_10,0.49,2,None,None,None
read_u1_z_6_1x128,0.41,None,None,5,None
add_6,0.48,2,None,None,None
read_cell_hidden_1x1_0_7,0.27,None,3,None,None
multiply_11,0.34,2,None,None,None
read_u1_z_7_1x128,0.48,None,None,5,None
add_7,0.40,2,None,None,None
read_cell_hidden_1x1_0_8,0.28,None,3,None,None
multiply_12,0.11,2,None,None,None
read_u1_z_8_1x128,0.15,None,None,5,None
add_8,0.16,2,None,None,None
read_cell_hidden_1x1_0_9,0.45,None,3,None,None
multiply_13,0.38,2,None,None,None
read_u1_z_9_1x128,0.34,None,None,5,None
add_9,0.31,2,None,None,None
read_cell_hidden_1x1_0_10,0.27,None,3,None,None
multiply_14,0.24,2,None,None,None
read_u1_z_10_1x128,0.25,None,None,5,None
add_10,0.14,2,None,None,None
read_cell_hidden_1x1_0_11,0.18,None,3,None,None
multiply_15,0.23,2,None,None,None
read_u1_z_11_1x128,0.21,None,None,5,None
add_11,0.28,2,None,None,None
read_cell_hidden_1x1_0_12,0.43,None,3,None,None
multiply_16,0.31,2,None,None,None
read_u1_z_12_1x128,0.35,None,None,5,None
add_12,0.45,2,None,None,None
read_cell_hidden_1x1_0_13,0.11,None,3,None,None
multiply_17,0.31,2,None,None,None
read_u1_z_13_1x128,0.23,None,None,5,None
