Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_hidden_1_1x1_71,0.12,None,3,None,None
read_u3_z_0_1x128,0.26,None,None,5,None
multiply_1162,0.43,2,None,None,None
add_1299,0.34,2,None,None,None
read_b3_z,0.20,None,None,5,None
add_1425,0.17,2,None,None,None
read_hidden_1_1x1_71_1,0.18,None,3,None,None
read_u3_z_1_1x128,0.48,None,None,5,None
multiply_1167,0.16,2,None,None,None
add_1300,0.12,2,None,None,None
read_hidden_1_1x1_71_2,0.31,None,3,None,None
read_u3_z_2_1x128,0.31,None,None,5,None
multiply_1168,0.43,2,None,None,None
add_1301,0.18,2,None,None,None
read_hidden_1_1x1_71_3,0.34,None,3,None,None
read_u3_z_3_1x128,0.44,None,None,5,None
multiply_1169,0.32,2,None,None,None
add_1302,0.21,2,None,None,None
read_hidden_1_1x1_71_4,0.28,None,3,None,None
read_u3_z_4_1x128,0.17,None,None,5,None
multiply_1170,0.32,2,None,None,None
add_1303,0.31,2,None,None,None
read_hidden_1_1x1_71_5,0.47,None,3,None,None
read_u3_z_5_1x128,0.13,None,None,5,None
multiply_1171,0.17,2,None,None,None
add_1304,0.21,2,None,None,None
read_hidden_1_1x1_71_6,0.18,None,3,None,None
read_u3_z_6_1x128,0.11,None,None,5,None
multiply_1172,0.11,2,None,None,None
add_1305,0.35,2,None,None,None
read_hidden_1_1x1_71_7,0.21,None,3,None,None
read_u3_z_7_1x128,0.31,None,None,5,None
multiply_1173,0.43,2,None,None,None
add_1306,0.27,2,None,None,None
read_hidden_1_1x1_71_8,0.16,None,3,None,None
read_u3_z_8_1x128,0.36,None,None,5,None
multiply_1174,0.45,2,None,None,None
add_1307,0.20,2,None,None,None
read_hidden_1_1x1_71_9,0.12,None,3,None,None
read_u3_z_9_1x128,0.48,None,None,5,None
multiply_1175,0.46,2,None,None,None
add_1308,0.36,2,None,None,None
read_hidden_1_1x1_71_10,0.25,None,3,None,None
read_u3_z_10_1x128,0.32,None,None,5,None
multiply_1176,0.36,2,None,None,None
add_1309,0.34,2,None,None,None
read_hidden_1_1x1_71_11,0.17,None,3,None,None
read_u3_z_11_1x128,0.21,None,None,5,None
multiply_1177,0.38,2,None,None,None
add_1310,0.24,2,None,None,None
read_hidden_1_1x1_71_12,0.47,None,3,None,None
read_u3_z_12_1x128,0.35,None,None,5,None
multiply_1178,0.38,2,None,None,None
add_1311,0.12,2,None,None,None
read_hidden_1_1x1_71_13,0.18,None,3,None,None
read_u3_z_13_1x128,0.32,None,None,5,None
multiply_1179,0.48,2,None,None,None
add_1312,0.38,2,None,None,None
read_hidden_1_1x1_71_14,0.21,None,3,None,None
read_u3_z_14_1x128,0.29,None,None,5,None
multiply_1180,0.48,2,None,None,None
add_1313,0.37,2,None,None,None
read_hidden_1_1x1_71_15,0.14,None,3,None,None
read_u3_z_15_1x128,0.13,None,None,5,None
multiply_1181,0.46,2,None,None,None
add_1314,0.16,2,None,None,None
read_hidden_1_1x1_71_16,0.23,None,3,None,None
read_u3_z_16_1x128,0.27,None,None,5,None
multiply_1182,0.40,2,None,None,None
add_1315,0.47,2,None,None,None
read_hidden_1_1x1_71_17,0.40,None,3,None,None
read_u3_z_17_1x128,0.26,None,None,5,None
multiply_1183,0.47,2,None,None,None
add_1316,0.44,2,None,None,None
read_hidden_1_1x1_71_18,0.19,None,3,None,None
read_u3_z_18_1x128,0.23,None,None,5,None
multiply_1184,0.17,2,None,None,None
add_1317,0.29,2,None,None,None
read_hidden_1_1x1_71_19,0.13,None,3,None,None
read_u3_z_19_1x128,0.39,None,None,5,None
multiply_1185,0.12,2,None,None,None
add_1318,0.48,2,None,None,None
read_hidden_1_1x1_71_20,0.35,None,3,None,None
read_u3_z_20_1x128,0.40,None,None,5,None
multiply_1186,0.49,2,None,None,None
add_1319,0.32,2,None,None,None
read_hidden_1_1x1_71_21,0.28,None,3,None,None
read_u3_z_21_1x128,0.23,None,None,5,None
multiply_1187,0.44,2,None,None,None
add_1320,0.12,2,None,None,None
read_hidden_1_1x1_71_22,0.21,None,3,None,None
read_u3_z_22_1x128,0.42,None,None,5,None
multiply_1188,0.39,2,None,None,None
add_1321,0.24,2,None,None,None
read_hidden_1_1x1_71_23,0.47,None,3,None,None
read_u3_z_23_1x128,0.29,None,None,5,None
multiply_1189,0.25,2,None,None,None
add_1322,0.44,2,None,None,None
read_hidden_1_1x1_71_24,0.10,None,3,None,None
read_u3_z_24_1x128,0.20,None,None,5,None
multiply_1190,0.44,2,None,None,None
add_1323,0.23,2,None,None,None
read_hidden_1_1x1_71_25,0.10,None,3,None,None
read_u3_z_25_1x128,0.30,None,None,5,None
multiply_1191,0.46,2,None,None,None
add_1324,0.20,2,None,None,None
read_hidden_1_1x1_71_26,0.50,None,3,None,None
read_u3_z_26_1x128,0.32,None,None,5,None
multiply_1192,0.47,2,None,None,None
add_1325,0.45,2,None,None,None
read_hidden_1_1x1_71_27,0.23,None,3,None,None
read_u3_z_27_1x128,0.36,None,None,5,None
multiply_1193,0.20,2,None,None,None
add_1326,0.33,2,None,None,None
read_hidden_1_1x1_71_28,0.34,None,3,None,None
read_u3_z_28_1x128,0.21,None,None,5,None
multiply_1194,0.17,2,None,None,None
add_1327,0.19,2,None,None,None
read_hidden_1_1x1_71_29,0.40,None,3,None,None
read_u3_z_29_1x128,0.39,None,None,5,None
multiply_1195,0.28,2,None,None,None
add_1328,0.22,2,None,None,None
read_hidden_1_1x1_71_30,0.42,None,3,None,None
read_u3_z_30_1x128,0.42,None,None,5,None
multiply_1196,0.34,2,None,None,None
add_1329,0.14,2,None,None,None
read_hidden_1_1x1_71_31,0.39,None,3,None,None
read_u3_z_31_1x128,0.38,None,None,5,None
multiply_1197,0.43,2,None,None,None
add_1330,0.14,2,None,None,None
read_hidden_1_1x1_71_32,0.44,None,3,None,None
read_u3_z_32_1x128,0.31,None,None,5,None
multiply_1198,0.27,2,None,None,None
add_1331,0.23,2,None,None,None
read_hidden_1_1x1_71_33,0.24,None,3,None,None
read_u3_z_33_1x128,0.44,None,None,5,None
multiply_1199,0.29,2,None,None,None
add_1332,0.42,2,None,None,None
read_hidden_1_1x1_71_34,0.32,None,3,None,None
read_u3_z_34_1x128,0.38,None,None,5,None
multiply_1200,0.42,2,None,None,None
add_1333,0.13,2,None,None,None
read_hidden_1_1x1_71_35,0.12,None,3,None,None
read_u3_z_35_1x128,0.49,None,None,5,None
multiply_1201,0.30,2,None,None,None
add_1334,0.44,2,None,None,None
read_hidden_1_1x1_71_36,0.17,None,3,None,None
read_u3_z_36_1x128,0.29,None,None,5,None
multiply_1202,0.43,2,None,None,None
add_1335,0.29,2,None,None,None
read_hidden_1_1x1_71_37,0.31,None,3,None,None
read_u3_z_37_1x128,0.41,None,None,5,None
multiply_1203,0.35,2,None,None,None
add_1336,0.17,2,None,None,None
read_hidden_1_1x1_71_38,0.26,None,3,None,None
read_u3_z_38_1x128,0.44,None,None,5,None
multiply_1204,0.44,2,None,None,None
add_1337,0.28,2,None,None,None
read_hidden_1_1x1_71_39,0.34,None,3,None,None
read_u3_z_39_1x128,0.17,None,None,5,None
multiply_1205,0.14,2,None,None,None
add_1338,0.23,2,None,None,None
read_hidden_1_1x1_71_40,0.49,None,3,None,None
read_u3_z_40_1x128,0.49,None,None,5,None
multiply_1206,0.35,2,None,None,None
add_1339,0.16,2,None,None,None
read_hidden_1_1x1_71_41,0.19,None,3,None,None
read_u3_z_41_1x128,0.13,None,None,5,None
multiply_1207,0.14,2,None,None,None
add_1340,0.38,2,None,None,None
read_hidden_1_1x1_71_42,0.17,None,3,None,None
read_u3_z_42_1x128,0.39,None,None,5,None
multiply_1208,0.41,2,None,None,None
add_1341,0.47,2,None,None,None
read_hidden_1_1x1_71_43,0.24,None,3,None,None
read_u3_z_43_1x128,0.17,None,None,5,None
multiply_1209,0.17,2,None,None,None
add_1342,0.20,2,None,None,None
read_hidden_1_1x1_71_44,0.30,None,3,None,None
read_u3_z_44_1x128,0.43,None,None,5,None
multiply_1210,0.22,2,None,None,None
add_1343,0.16,2,None,None,None
read_hidden_1_1x1_71_45,0.45,None,3,None,None
read_u3_z_45_1x128,0.18,None,None,5,None
multiply_1211,0.23,2,None,None,None
add_1344,0.11,2,None,None,None
read_hidden_1_1x1_71_46,0.45,None,3,None,None
read_u3_z_46_1x128,0.27,None,None,5,None
multiply_1212,0.41,2,None,None,None
add_1345,0.25,2,None,None,None
read_hidden_1_1x1_71_47,0.46,None,3,None,None
read_u3_z_47_1x128,0.22,None,None,5,None
multiply_1213,0.20,2,None,None,None
add_1346,0.20,2,None,None,None
read_hidden_1_1x1_71_48,0.15,None,3,None,None
read_u3_z_48_1x128,0.38,None,None,5,None
multiply_1214,0.14,2,None,None,None
add_1347,0.18,2,None,None,None
read_hidden_1_1x1_71_49,0.12,None,3,None,None
read_u3_z_49_1x128,0.27,None,None,5,None
multiply_1215,0.43,2,None,None,None
add_1348,0.16,2,None,None,None
read_hidden_1_1x1_71_50,0.35,None,3,None,None
read_u3_z_50_1x128,0.19,None,None,5,None
multiply_1216,0.30,2,None,None,None
add_1349,0.47,2,None,None,None
read_hidden_1_1x1_71_51,0.21,None,3,None,None
read_u3_z_51_1x128,0.37,None,None,5,None
multiply_1217,0.25,2,None,None,None
add_1350,0.14,2,None,None,None
