Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_dense_result_0_0,0.27,None,None,None,3
read_dense_result_previous_0_0,0.26,None,None,None,3
add_2624,0.35,2,None,None,None
write_output_sum_0,0.40,None,None,None,3
read_output_sum_0,0.40,None,None,None,3
multiply_3000,0.27,2,None,None,None
read_time_sum_0,0.48,None,None,5,None
write_out_time_mul_0,0.37,None,None,None,3
read_out_time_mul_0,0.49,None,None,None,3
divide_15,0.15,8,None,None,None
read_two_0,0.35,None,None,5,None
write_tau1_and_tau2_0,0.36,None,None,None,3
read_tau1_and_tau2_0,0.31,None,None,None,3
add_2625,0.28,2,None,None,None
read_tau1_1000,0.47,None,None,None,3
write_tau1_1000,0.31,None,None,None,3
read_tau2_1000,0.33,None,None,None,3
write_tau2_1000,0.11,None,None,None,3
add_2626,0.27,2,None,None,None
divide_16,0.15,8,None,None,None
read_ar1_0,0.20,None,None,None,3
read_tau1_2001,0.17,None,None,None,3
write_tau1_2001,0.29,None,None,None,3
divide_17,0.42,8,None,None,None
read_ar2_0,0.38,None,None,None,3
write_tau2_2001,0.29,None,None,None,3
read_tau2_2001,0.12,None,None,None,3
read_dense_result_100000000000_1,0.14,None,None,None,3
read_dense_result_previous_100000000000_1,0.46,None,None,None,3
add_100000002624,0.25,2,None,None,None
write_output_sum_1,0.49,None,None,None,3
read_output_sum_1,0.19,None,None,None,3
multiply_100000003000,0.20,2,None,None,None
read_time_sum_1,0.28,None,None,5,None
write_out_time_mul_1,0.23,None,None,None,3
read_out_time_mul_1,0.45,None,None,None,3
divide_100000000015,0.10,8,None,None,None
read_two_1,0.30,None,None,5,None
write_tau1_and_tau2_1,0.48,None,None,None,3
read_tau1_and_tau2_1,0.34,None,None,None,3
add_100000002625,0.41,2,None,None,None
read_tau1_2002,0.12,None,None,None,3
read_tau2_2002,0.46,None,None,None,3
read_tau1_1001,0.22,None,None,None,3
write_tau1_1001,0.49,None,None,None,3
read_tau2_1001,0.22,None,None,None,3
write_tau2_1001,0.13,None,None,None,3
add_100000002626,0.21,2,None,None,None
divide_100000000016,0.26,8,None,None,None
read_ar1_1,0.40,None,None,None,3
write_tau1_2002,0.12,None,None,None,3
divide_100000000017,0.36,8,None,None,None
read_ar2_1,0.47,None,None,None,3
write_tau2_2002,0.15,None,None,None,3
read_dense_result_200000000000_2,0.22,None,None,None,3
read_dense_result_previous_200000000000_2,0.42,None,None,None,3
add_200000002624,0.23,2,None,None,None
write_output_sum_2,0.13,None,None,None,3
read_output_sum_2,0.17,None,None,None,3
multiply_200000003000,0.17,2,None,None,None
read_time_sum_2,0.23,None,None,5,None
write_out_time_mul_2,0.46,None,None,None,3
read_out_time_mul_2,0.31,None,None,None,3
divide_200000000015,0.23,8,None,None,None
read_two_2,0.39,None,None,5,None
write_tau1_and_tau2_2,0.50,None,None,None,3
read_tau1_and_tau2_2,0.16,None,None,None,3
add_200000002625,0.27,2,None,None,None
read_tau1_2003,0.25,None,None,None,3
read_tau2_2003,0.10,None,None,None,3
read_tau1_1002,0.35,None,None,None,3
write_tau1_1002,0.34,None,None,None,3
read_tau2_1002,0.39,None,None,None,3
write_tau2_1002,0.22,None,None,None,3
add_200000002626,0.20,2,None,None,None
divide_200000000016,0.41,8,None,None,None
read_ar1_2,0.24,None,None,None,3
write_tau1_2003,0.31,None,None,None,3
divide_200000000017,0.12,8,None,None,None
read_ar2_2,0.44,None,None,None,3
write_tau2_2003,0.13,None,None,None,3
read_dense_result_300000000000_3,0.39,None,None,None,3
read_dense_result_previous_300000000000_3,0.16,None,None,None,3
add_300000002624,0.35,2,None,None,None
write_output_sum_3,0.46,None,None,None,3
read_output_sum_3,0.43,None,None,None,3
multiply_300000003000,0.26,2,None,None,None
read_time_sum_3,0.18,None,None,5,None
write_out_time_mul_3,0.28,None,None,None,3
read_out_time_mul_3,0.27,None,None,None,3
divide_300000000015,0.29,8,None,None,None
read_two_3,0.16,None,None,5,None
write_tau1_and_tau2_3,0.44,None,None,None,3
read_tau1_and_tau2_3,0.17,None,None,None,3
add_300000002625,0.43,2,None,None,None
read_tau1_2004,0.14,None,None,None,3
read_tau2_2004,0.42,None,None,None,3
read_tau1_1003,0.33,None,None,None,3
write_tau1_1003,0.48,None,None,None,3
read_tau2_1003,0.27,None,None,None,3
write_tau2_1003,0.48,None,None,None,3
add_300000002626,0.44,2,None,None,None
divide_300000000016,0.31,8,None,None,None
read_ar1_3,0.46,None,None,None,3
write_tau1_2004,0.31,None,None,None,3
divide_300000000017,0.40,8,None,None,None
read_ar2_3,0.29,None,None,None,3
write_tau2_2004,0.37,None,None,None,3
read_dense_result_400000000000_4,0.31,None,None,None,3
read_dense_result_previous_400000000000_4,0.23,None,None,None,3
add_400000002624,0.16,2,None,None,None
write_output_sum_4,0.43,None,None,None,3
read_output_sum_4,0.13,None,None,None,3
multiply_400000003000,0.27,2,None,None,None
read_time_sum_4,0.25,None,None,5,None
write_out_time_mul_4,0.33,None,None,None,3
read_out_time_mul_4,0.40,None,None,None,3
divide_400000000015,0.40,8,None,None,None
read_two_4,0.13,None,None,5,None
write_tau1_and_tau2_4,0.41,None,None,None,3
read_tau1_and_tau2_4,0.46,None,None,None,3
add_400000002625,0.18,2,None,None,None
read_tau1_2005,0.15,None,None,None,3
read_tau2_2005,0.13,None,None,None,3
read_tau1_1004,0.50,None,None,None,3
write_tau1_1004,0.19,None,None,None,3
read_tau2_1004,0.36,None,None,None,3
write_tau2_1004,0.33,None,None,None,3
add_400000002626,0.33,2,None,None,None
divide_400000000016,0.22,8,None,None,None
read_ar1_4,0.17,None,None,None,3
write_tau1_2005,0.12,None,None,None,3
divide_400000000017,0.39,8,None,None,None
read_ar2_4,0.45,None,None,None,3
write_tau2_2005,0.46,None,None,None,3
read_dense_result_500000000000_5,0.39,None,None,None,3
read_dense_result_previous_500000000000_5,0.21,None,None,None,3
add_500000002624,0.28,2,None,None,None
write_output_sum_5,0.43,None,None,None,3
read_output_sum_5,0.10,None,None,None,3
multiply_500000003000,0.39,2,None,None,None
read_time_sum_5,0.38,None,None,5,None
write_out_time_mul_5,0.23,None,None,None,3
read_out_time_mul_5,0.32,None,None,None,3
divide_500000000015,0.33,8,None,None,None
read_two_5,0.47,None,None,5,None
write_tau1_and_tau2_5,0.18,None,None,None,3
read_tau1_and_tau2_5,0.36,None,None,None,3
add_500000002625,0.42,2,None,None,None
read_tau1_2006,0.47,None,None,None,3
read_tau2_2006,0.45,None,None,None,3
read_tau1_1005,0.11,None,None,None,3
write_tau1_1005,0.27,None,None,None,3
read_tau2_1005,0.32,None,None,None,3
write_tau2_1005,0.25,None,None,None,3
add_500000002626,0.22,2,None,None,None
divide_500000000016,0.29,8,None,None,None
read_ar1_5,0.25,None,None,None,3
write_tau1_2006,0.17,None,None,None,3
divide_500000000017,0.28,8,None,None,None
read_ar2_5,0.12,None,None,None,3
write_tau2_2006,0.26,None,None,None,3
read_dense_result_600000000000_6,0.39,None,None,None,3
read_dense_result_previous_600000000000_6,0.30,None,None,None,3
add_600000002624,0.16,2,None,None,None
write_output_sum_6,0.24,None,None,None,3
read_output_sum_6,0.25,None,None,None,3
multiply_600000003000,0.22,2,None,None,None
read_time_sum_6,0.45,None,None,5,None
write_out_time_mul_6,0.15,None,None,None,3
read_out_time_mul_6,0.18,None,None,None,3
divide_600000000015,0.49,8,None,None,None
read_two_6,0.30,None,None,5,None
write_tau1_and_tau2_6,0.24,None,None,None,3
read_tau1_and_tau2_6,0.22,None,None,None,3
add_600000002625,0.20,2,None,None,None
read_tau1_2007,0.15,None,None,None,3
read_tau2_2007,0.32,None,None,None,3
read_tau1_1006,0.47,None,None,None,3
write_tau1_1006,0.46,None,None,None,3
read_tau2_1006,0.35,None,None,None,3
write_tau2_1006,0.42,None,None,None,3
add_600000002626,0.19,2,None,None,None
divide_600000000016,0.14,8,None,None,None
read_ar1_6,0.33,None,None,None,3
write_tau1_2007,0.43,None,None,None,3
divide_600000000017,0.27,8,None,None,None
read_ar2_6,0.43,None,None,None,3
write_tau2_2007,0.11,None,None,None,3
read_dense_result_700000000000_7,0.45,None,None,None,3
read_dense_result_previous_700000000000_7,0.30,None,None,None,3
add_700000002624,0.24,2,None,None,None
write_output_sum_7,0.11,None,None,None,3
read_output_sum_7,0.10,None,None,None,3
multiply_700000003000,0.49,2,None,None,None
read_time_sum_7,0.32,None,None,5,None
write_out_time_mul_7,0.37,None,None,None,3
read_out_time_mul_7,0.22,None,None,None,3
divide_700000000015,0.43,8,None,None,None
read_two_7,0.46,None,None,5,None
write_tau1_and_tau2_7,0.12,None,None,None,3
read_tau1_and_tau2_7,0.15,None,None,None,3
add_700000002625,0.49,2,None,None,None
read_tau1_2008,0.44,None,None,None,3
read_tau2_2008,0.16,None,None,None,3
read_tau1_1007,0.50,None,None,None,3
write_tau1_1007,0.22,None,None,None,3
read_tau2_1007,0.21,None,None,None,3
write_tau2_1007,0.32,None,None,None,3
add_700000002626,0.48,2,None,None,None
divide_700000000016,0.20,8,None,None,None
read_ar1_7,0.41,None,None,None,3
write_tau1_2008,0.37,None,None,None,3
divide_700000000017,0.13,8,None,None,None
read_ar2_7,0.33,None,None,None,3
write_tau2_2008,0.31,None,None,None,3
read_dense_result_800000000000_8,0.12,None,None,None,3
read_dense_result_previous_800000000000_8,0.44,None,None,None,3
add_800000002624,0.32,2,None,None,None
write_output_sum_8,0.44,None,None,None,3
read_output_sum_8,0.39,None,None,None,3
multiply_800000003000,0.21,2,None,None,None
read_time_sum_8,0.42,None,None,5,None
write_out_time_mul_8,0.29,None,None,None,3
read_out_time_mul_8,0.14,None,None,None,3
divide_800000000015,0.39,8,None,None,None
read_two_8,0.32,None,None,5,None
write_tau1_and_tau2_8,0.25,None,None,None,3
read_tau1_and_tau2_8,0.45,None,None,None,3
add_800000002625,0.20,2,None,None,None
read_tau1_2009,0.34,None,None,None,3
read_tau2_2009,0.14,None,None,None,3
read_tau1_1008,0.46,None,None,None,3
write_tau1_1008,0.45,None,None,None,3
read_tau2_1008,0.50,None,None,None,3
write_tau2_1008,0.44,None,None,None,3
add_800000002626,0.33,2,None,None,None
divide_800000000016,0.15,8,None,None,None
read_ar1_8,0.20,None,None,None,3
write_tau1_2009,0.16,None,None,None,3
divide_800000000017,0.32,8,None,None,None
read_ar2_8,0.19,None,None,None,3
write_tau2_2009,0.23,None,None,None,3
read_dense_result_900000000000_9,0.27,None,None,None,3
read_dense_result_previous_900000000000_9,0.18,None,None,None,3
add_900000002624,0.36,2,None,None,None
write_output_sum_9,0.31,None,None,None,3
read_output_sum_9,0.38,None,None,None,3
multiply_900000003000,0.14,2,None,None,None
read_time_sum_9,0.44,None,None,5,None
write_out_time_mul_9,0.46,None,None,None,3
read_out_time_mul_9,0.38,None,None,None,3
divide_900000000015,0.43,8,None,None,None
read_two_9,0.38,None,None,5,None
write_tau1_and_tau2_9,0.35,None,None,None,3
read_tau1_and_tau2_9,0.45,None,None,None,3
add_900000002625,0.45,2,None,None,None
read_tau1_2010,0.17,None,None,None,3
read_tau2_2010,0.10,None,None,None,3
read_tau1_1009,0.18,None,None,None,3
write_tau1_1009,0.46,None,None,None,3
read_tau2_1009,0.13,None,None,None,3
write_tau2_1009,0.11,None,None,None,3
add_900000002626,0.34,2,None,None,None
divide_900000000016,0.26,8,None,None,None
read_ar1_9,0.45,None,None,None,3
write_tau1_2010,0.27,None,None,None,3
divide_900000000017,0.14,8,None,None,None
read_ar2_9,0.36,None,None,None,3
write_tau2_2010,0.16,None,None,None,3
