Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_hidden_1_1x1_71,0.22,None,3,None,None
read_u3_z_0_1x32_0,0.48,None,None,5,None
multiply_1162,0.47,2,None,None,None
add_1300,0.50,2,None,None,None
read_b3_z_0,0.40,None,None,5,None
add_1331,0.25,2,None,None,None
read_hidden_1_1x1_1_71,0.34,None,3,None,None
read_u3_z_1_1x32_0,0.42,None,None,5,None
multiply_1163,0.41,2,None,None,None
add_1301,0.50,2,None,None,None
read_hidden_1_1x1_2_71,0.37,None,3,None,None
read_u3_z_2_1x32_0,0.10,None,None,5,None
multiply_1164,0.28,2,None,None,None
add_1302,0.18,2,None,None,None
read_hidden_1_1x1_3_71,0.25,None,3,None,None
read_u3_z_3_1x32_0,0.31,None,None,5,None
multiply_1165,0.22,2,None,None,None
add_1303,0.37,2,None,None,None
read_hidden_1_1x1_4_71,0.13,None,3,None,None
read_u3_z_4_1x32_0,0.16,None,None,5,None
multiply_1166,0.36,2,None,None,None
add_1304,0.47,2,None,None,None
read_hidden_1_1x1_5_71,0.20,None,3,None,None
read_u3_z_5_1x32_0,0.19,None,None,5,None
multiply_1167,0.43,2,None,None,None
add_1305,0.26,2,None,None,None
read_hidden_1_1x1_6_71,0.44,None,3,None,None
read_u3_z_6_1x32_0,0.48,None,None,5,None
multiply_1168,0.24,2,None,None,None
add_1306,0.36,2,None,None,None
read_hidden_1_1x1_7_71,0.23,None,3,None,None
read_u3_z_7_1x32_0,0.27,None,None,5,None
multiply_1169,0.38,2,None,None,None
add_1307,0.21,2,None,None,None
read_hidden_1_1x1_8_71,0.49,None,3,None,None
read_u3_z_8_1x32_0,0.41,None,None,5,None
multiply_1170,0.48,2,None,None,None
add_1308,0.24,2,None,None,None
read_hidden_1_1x1_9_71,0.32,None,3,None,None
read_u3_z_9_1x32_0,0.10,None,None,5,None
multiply_1171,0.13,2,None,None,None
add_1309,0.27,2,None,None,None
read_hidden_1_1x1_10_71,0.23,None,3,None,None
read_u3_z_10_1x32_0,0.14,None,None,5,None
multiply_1172,0.40,2,None,None,None
add_1310,0.20,2,None,None,None
read_hidden_1_1x1_11_71,0.15,None,3,None,None
read_u3_z_11_1x32_0,0.10,None,None,5,None
multiply_1173,0.22,2,None,None,None
add_1311,0.25,2,None,None,None
read_hidden_1_1x1_12_71,0.14,None,3,None,None
read_u3_z_12_1x32_0,0.18,None,None,5,None
multiply_1174,0.12,2,None,None,None
add_1312,0.47,2,None,None,None
read_hidden_1_1x1_13_71,0.10,None,3,None,None
read_u3_z_13_1x32_0,0.50,None,None,5,None
multiply_1175,0.32,2,None,None,None
add_1313,0.22,2,None,None,None
read_hidden_1_1x1_14_71,0.16,None,3,None,None
read_u3_z_14_1x32_0,0.45,None,None,5,None
multiply_1176,0.12,2,None,None,None
add_1314,0.14,2,None,None,None
read_hidden_1_1x1_15_71,0.30,None,3,None,None
read_u3_z_15_1x32_0,0.14,None,None,5,None
multiply_1177,0.34,2,None,None,None
add_1315,0.33,2,None,None,None
read_hidden_1_1x1_16_71,0.42,None,3,None,None
read_u3_z_16_1x32_0,0.37,None,None,5,None
multiply_1178,0.36,2,None,None,None
add_1316,0.32,2,None,None,None
read_hidden_1_1x1_17_71,0.29,None,3,None,None
read_u3_z_17_1x32_0,0.11,None,None,5,None
multiply_1179,0.36,2,None,None,None
add_1317,0.32,2,None,None,None
read_hidden_1_1x1_18_71,0.27,None,3,None,None
read_u3_z_18_1x32_0,0.38,None,None,5,None
multiply_1180,0.18,2,None,None,None
add_1318,0.46,2,None,None,None
read_hidden_1_1x1_19_71,0.22,None,3,None,None
read_u3_z_19_1x32_0,0.49,None,None,5,None
multiply_1181,0.47,2,None,None,None
add_1319,0.46,2,None,None,None
read_hidden_1_1x1_20_71,0.28,None,3,None,None
read_u3_z_20_1x32_0,0.20,None,None,5,None
multiply_1182,0.28,2,None,None,None
add_1320,0.45,2,None,None,None
read_hidden_1_1x1_21_71,0.45,None,3,None,None
read_u3_z_21_1x32_0,0.20,None,None,5,None
multiply_1183,0.48,2,None,None,None
add_1321,0.37,2,None,None,None
read_hidden_1_1x1_22_71,0.31,None,3,None,None
read_u3_z_22_1x32_0,0.35,None,None,5,None
multiply_1184,0.46,2,None,None,None
add_1322,0.25,2,None,None,None
read_hidden_1_1x1_23_71,0.11,None,3,None,None
read_u3_z_23_1x32_0,0.30,None,None,5,None
multiply_1185,0.15,2,None,None,None
add_1323,0.21,2,None,None,None
read_hidden_1_1x1_24_71,0.22,None,3,None,None
read_u3_z_24_1x32_0,0.48,None,None,5,None
multiply_1186,0.11,2,None,None,None
add_1324,0.48,2,None,None,None
read_hidden_1_1x1_25_71,0.35,None,3,None,None
read_u3_z_25_1x32_0,0.21,None,None,5,None
multiply_1187,0.28,2,None,None,None
add_1325,0.45,2,None,None,None
read_hidden_1_1x1_26_71,0.40,None,3,None,None
read_u3_z_26_1x32_0,0.47,None,None,5,None
multiply_1188,0.35,2,None,None,None
add_1326,0.47,2,None,None,None
read_hidden_1_1x1_27_71,0.44,None,3,None,None
read_u3_z_27_1x32_0,0.17,None,None,5,None
multiply_1189,0.11,2,None,None,None
add_1327,0.34,2,None,None,None
read_hidden_1_1x1_28_71,0.35,None,3,None,None
read_u3_z_28_1x32_0,0.46,None,None,5,None
multiply_1190,0.41,2,None,None,None
add_1328,0.26,2,None,None,None
read_hidden_1_1x1_29_71,0.46,None,3,None,None
read_u3_z_29_1x32_0,0.15,None,None,5,None
multiply_1191,0.42,2,None,None,None
add_1329,0.17,2,None,None,None
read_hidden_1_1x1_30_71,0.16,None,3,None,None
read_u3_z_30_1x32_0,0.40,None,None,5,None
multiply_1192,0.42,2,None,None,None
add_1330,0.39,2,None,None,None
read_hidden_1_1x1_31_71,0.40,None,3,None,None
read_u3_z_31_1x32_0,0.19,None,None,5,None
multiply_1193,0.28,2,None,None,None
write_u3_z_sig_in_0,0.23,None,None,None,3
read_u3_r_0_1x32_0,0.33,None,None,5,None
multiply_1294,0.12,2,None,None,None
add_1427,0.24,2,None,None,None
read_b3_r_0,0.44,None,None,5,None
add_1458,0.24,2,None,None,None
read_u3_r_1_1x32_0,0.14,None,None,5,None
multiply_1295,0.21,2,None,None,None
add_1428,0.16,2,None,None,None
read_u3_r_2_1x32_0,0.11,None,None,5,None
multiply_1296,0.45,2,None,None,None
add_1429,0.45,2,None,None,None
read_u3_r_3_1x32_0,0.23,None,None,5,None
multiply_1297,0.15,2,None,None,None
add_1430,0.42,2,None,None,None
read_u3_r_4_1x32_0,0.40,None,None,5,None
multiply_1298,0.44,2,None,None,None
add_1431,0.11,2,None,None,None
read_u3_r_5_1x32_0,0.26,None,None,5,None
multiply_1299,0.40,2,None,None,None
add_1432,0.31,2,None,None,None
read_u3_r_6_1x32_0,0.43,None,None,5,None
multiply_1300,0.38,2,None,None,None
add_1433,0.27,2,None,None,None
read_u3_r_7_1x32_0,0.14,None,None,5,None
multiply_1301,0.32,2,None,None,None
add_1434,0.36,2,None,None,None
read_u3_r_8_1x32_0,0.30,None,None,5,None
multiply_1302,0.32,2,None,None,None
add_1435,0.32,2,None,None,None
read_u3_r_9_1x32_0,0.27,None,None,5,None
multiply_1303,0.48,2,None,None,None
add_1436,0.12,2,None,None,None
read_u3_r_10_1x32_0,0.41,None,None,5,None
multiply_1304,0.11,2,None,None,None
add_1437,0.14,2,None,None,None
read_u3_r_11_1x32_0,0.41,None,None,5,None
multiply_1305,0.48,2,None,None,None
add_1438,0.38,2,None,None,None
read_u3_r_12_1x32_0,0.46,None,None,5,None
multiply_1306,0.27,2,None,None,None
add_1439,0.33,2,None,None,None
read_u3_r_13_1x32_0,0.41,None,None,5,None
multiply_1307,0.35,2,None,None,None
add_1440,0.25,2,None,None,None
read_u3_r_14_1x32_0,0.24,None,None,5,None
multiply_1308,0.35,2,None,None,None
add_1441,0.27,2,None,None,None
read_u3_r_15_1x32_0,0.41,None,None,5,None
multiply_1309,0.48,2,None,None,None
add_1442,0.47,2,None,None,None
read_u3_r_16_1x32_0,0.35,None,None,5,None
multiply_1310,0.32,2,None,None,None
add_1443,0.43,2,None,None,None
read_u3_r_17_1x32_0,0.25,None,None,5,None
multiply_1311,0.20,2,None,None,None
add_1444,0.39,2,None,None,None
