Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_in_1x1_0,0.25,None,None,None,3
multiply_1,0.16,2,None,None,None
read_w1_z_1x32_0,0.12,None,None,5,None
write_result_w1_z_1x32_in_0,0.17,None,None,None,3
multiply_2,0.20,2,None,None,None
read_w1_h_1x32_0,0.21,None,None,5,None
write_result_w1_h_1x32_in_0,0.26,None,None,None,3
multiply_3,0.37,2,None,None,None
read_w1_r_1x32_0,0.49,None,None,5,None
write_result_w1_r_1x32_in_0,0.48,None,None,None,3
read_result_w1_z_1x32_in_0,0.19,None,None,None,3
read_result_w1_h_1x32_in_0,0.39,None,None,None,3
read_result_w1_r_1x32_in_0,0.35,None,None,None,3
read_hidden_1_1x32_0,0.38,None,3,None,None
multiply_4,0.21,2,None,None,None
read_u1_z_0_1x32_0,0.18,None,None,5,None
add_0,0.17,2,None,None,None
read_b1_z_0,0.21,None,None,5,None
add_32,0.38,2,None,None,None
read_hidden_1_1x1_1_0,0.16,None,3,None,None
multiply_5,0.37,2,None,None,None
read_u1_z_1_1x32_0,0.34,None,None,5,None
add_1,0.23,2,None,None,None
read_hidden_1_1x1_2_0,0.16,None,3,None,None
multiply_6,0.36,2,None,None,None
read_u1_z_2_1x32_0,0.25,None,None,5,None
add_2,0.35,2,None,None,None
read_hidden_1_1x1_3_0,0.46,None,3,None,None
multiply_7,0.16,2,None,None,None
read_u1_z_3_1x32_0,0.44,None,None,5,None
add_3,0.18,2,None,None,None
read_hidden_1_1x1_4_0,0.30,None,3,None,None
multiply_8,0.13,2,None,None,None
read_u1_z_4_1x32_0,0.27,None,None,5,None
add_4,0.28,2,None,None,None
read_hidden_1_1x1_5_0,0.10,None,3,None,None
multiply_9,0.15,2,None,None,None
read_u1_z_5_1x32_0,0.13,None,None,5,None
add_5,0.29,2,None,None,None
read_hidden_1_1x1_6_0,0.13,None,3,None,None
multiply_10,0.38,2,None,None,None
read_u1_z_6_1x32_0,0.43,None,None,5,None
add_6,0.31,2,None,None,None
read_hidden_1_1x1_7_0,0.23,None,3,None,None
multiply_11,0.49,2,None,None,None
read_u1_z_7_1x32_0,0.26,None,None,5,None
add_7,0.24,2,None,None,None
read_hidden_1_1x1_8_0,0.11,None,3,None,None
multiply_12,0.11,2,None,None,None
read_u1_z_8_1x32_0,0.35,None,None,5,None
add_8,0.35,2,None,None,None
read_hidden_1_1x1_9_0,0.40,None,3,None,None
multiply_13,0.43,2,None,None,None
read_u1_z_9_1x32_0,0.46,None,None,5,None
add_9,0.49,2,None,None,None
read_hidden_1_1x1_10_0,0.30,None,3,None,None
multiply_14,0.41,2,None,None,None
read_u1_z_10_1x32_0,0.48,None,None,5,None
add_10,0.37,2,None,None,None
read_hidden_1_1x1_11_0,0.41,None,3,None,None
multiply_15,0.23,2,None,None,None
read_u1_z_11_1x32_0,0.27,None,None,5,None
add_11,0.33,2,None,None,None
read_hidden_1_1x1_12_0,0.25,None,3,None,None
multiply_16,0.13,2,None,None,None
read_u1_z_12_1x32_0,0.38,None,None,5,None
add_12,0.32,2,None,None,None
read_hidden_1_1x1_13_0,0.47,None,3,None,None
multiply_17,0.31,2,None,None,None
read_u1_z_13_1x32_0,0.38,None,None,5,None
add_13,0.13,2,None,None,None
read_hidden_1_1x1_14_0,0.44,None,3,None,None
multiply_18,0.33,2,None,None,None
read_u1_z_14_1x32_0,0.36,None,None,5,None
add_14,0.10,2,None,None,None
read_hidden_1_1x1_15_0,0.19,None,3,None,None
multiply_19,0.47,2,None,None,None
read_u1_z_15_1x32_0,0.47,None,None,5,None
add_15,0.22,2,None,None,None
read_hidden_1_1x1_16_0,0.21,None,3,None,None
multiply_20,0.18,2,None,None,None
read_u1_z_16_1x32_0,0.47,None,None,5,None
add_16,0.33,2,None,None,None
read_hidden_1_1x1_17_0,0.39,None,3,None,None
multiply_21,0.12,2,None,None,None
read_u1_z_17_1x32_0,0.23,None,None,5,None
add_17,0.42,2,None,None,None
read_hidden_1_1x1_18_0,0.23,None,3,None,None
multiply_22,0.12,2,None,None,None
read_u1_z_18_1x32_0,0.29,None,None,5,None
add_18,0.33,2,None,None,None
read_hidden_1_1x1_19_0,0.49,None,3,None,None
multiply_23,0.16,2,None,None,None
read_u1_z_19_1x32_0,0.45,None,None,5,None
add_19,0.36,2,None,None,None
read_hidden_1_1x1_20_0,0.47,None,3,None,None
multiply_24,0.30,2,None,None,None
read_u1_z_20_1x32_0,0.21,None,None,5,None
add_20,0.32,2,None,None,None
read_hidden_1_1x1_21_0,0.17,None,3,None,None
multiply_25,0.35,2,None,None,None
read_u1_z_21_1x32_0,0.34,None,None,5,None
add_21,0.45,2,None,None,None
read_hidden_1_1x1_22_0,0.11,None,3,None,None
multiply_26,0.15,2,None,None,None
read_u1_z_22_1x32_0,0.46,None,None,5,None
add_22,0.21,2,None,None,None
read_hidden_1_1x1_23_0,0.14,None,3,None,None
multiply_27,0.24,2,None,None,None
read_u1_z_23_1x32_0,0.36,None,None,5,None
add_23,0.15,2,None,None,None
read_hidden_1_1x1_24_0,0.44,None,3,None,None
multiply_28,0.25,2,None,None,None
read_u1_z_24_1x32_0,0.10,None,None,5,None
add_24,0.12,2,None,None,None
read_hidden_1_1x1_25_0,0.46,None,3,None,None
multiply_29,0.12,2,None,None,None
read_u1_z_25_1x32_0,0.20,None,None,5,None
add_25,0.46,2,None,None,None
read_hidden_1_1x1_26_0,0.31,None,3,None,None
multiply_30,0.30,2,None,None,None
read_u1_z_26_1x32_0,0.12,None,None,5,None
add_26,0.15,2,None,None,None
read_hidden_1_1x1_27_0,0.40,None,3,None,None
multiply_31,0.42,2,None,None,None
read_u1_z_27_1x32_0,0.27,None,None,5,None
add_27,0.38,2,None,None,None
read_hidden_1_1x1_28_0,0.46,None,3,None,None
multiply_32,0.33,2,None,None,None
read_u1_z_28_1x32_0,0.18,None,None,5,None
add_28,0.34,2,None,None,None
read_hidden_1_1x1_29_0,0.11,None,3,None,None
multiply_33,0.35,2,None,None,None
read_u1_z_29_1x32_0,0.44,None,None,5,None
add_29,0.39,2,None,None,None
read_hidden_1_1x1_30_0,0.14,None,3,None,None
multiply_34,0.29,2,None,None,None
read_u1_z_30_1x32_0,0.30,None,None,5,None
add_30,0.24,2,None,None,None
read_hidden_1_1x1_31_0,0.11,None,3,None,None
multiply_35,0.14,2,None,None,None
read_u1_z_31_1x32_0,0.34,None,None,5,None
add_31,0.48,2,None,None,None
